Timestamp,SourceIP,DestinationIP,Length,SourcePort,DestinationPort
14:50:19.867074,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.878836,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.879137,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.879244,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.880261,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.880432,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.881523,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.881654,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.881878,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.881915,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.889613,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.889613,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.889846,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.894215,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.894958,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.895068,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.895273,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.895332,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.923523,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.924665,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.925022,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.925672,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.925758,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.92973,115.113.240.203,10.0.2.15,1126,443,41438
14:50:19.92973,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.930281,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.930543,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.930709,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.937393,115.113.240.203,10.0.2.15,1126,443,41438
14:50:19.938136,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.93817,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.943397,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.944039,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.944184,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.944514,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.944621,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.949815,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.950577,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.950836,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.951172,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.951393,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.951919,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.952153,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.956025,115.113.240.203,10.0.2.15,1126,443,41438
14:50:19.956431,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.956805,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.96406,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.965271,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.965474,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.965818,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.966098,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.966495,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.966647,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.970808,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.971063,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.971717,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.971786,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.97634,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.976904,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.977055,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.977188,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.977245,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.982283,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.983531,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.984023,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.995511,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.995512,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.995784,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.995902,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.995983,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.996211,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.99759,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.998358,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.99955,10.0.2.15,115.113.240.203,54,41438,443
14:50:20.004961,115.113.240.203,10.0.2.15,590,443,41438
14:50:20.007116,115.113.240.203,10.0.2.15,1600,443,41438
14:50:20.007414,115.113.240.203,10.0.2.15,1600,443,41438
14:50:20.008827,115.113.240.203,10.0.2.15,1600,443,41438
14:50:20.008956,10.0.2.15,115.113.240.203,54,41438,443
14:50:20.011314,115.113.240.203,10.0.2.15,590,443,41438
14:50:20.011861,115.113.240.203,10.0.2.15,1600,443,41438
14:50:20.012041,10.0.2.15,115.113.240.203,54,41438,443
14:50:20.012549,115.113.240.203,10.0.2.15,1600,443,41438
14:50:20.012854,10.0.2.15,115.113.240.203,54,41438,443
14:50:20.018433,115.113.240.203,10.0.2.15,590,443,41438
14:50:20.019411,115.113.240.203,10.0.2.15,1600,443,41438
14:50:20.019743,10.0.2.15,115.113.240.203,54,41438,443
14:50:20.020519,115.113.240.203,10.0.2.15,1600,443,41438
14:50:20.020707,10.0.2.15,115.113.240.203,54,41438,443
14:50:20.029258,115.113.240.203,10.0.2.15,1126,443,41438
