SequenceNumber,RequestTime,ReplyTime,RequestSourceIP,RequestDestIP,ReplySourceIP,ReplyDestIP,ReplyTTLexpiredIP,TTL,Download/Upload/Idle
3956,21:22:55.63392,21:22:55.65953,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
3803,21:22:48.145055,21:22:48.281228,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,download
3828,21:22:49.595785,21:22:49.599561,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
4146,21:23:08.263269,21:23:08.264945,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
4328,21:23:14.415958,21:23:14.41803,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
3878,21:22:51.753026,21:22:51.764852,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,download
4188,21:23:09.65182,21:23:09.654758,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
4358,21:23:15.347866,21:23:15.350276,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
3775,21:22:46.971152,21:22:46.981224,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
3865,21:22:51.121326,21:22:51.226825,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,download
4234,21:23:11.17428,21:23:11.190315,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
4276,21:23:12.578719,21:23:12.58049,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
3871,21:22:51.475741,21:22:51.477423,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,download
4232,21:23:11.174199,21:23:11.190315,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
